state,division,ballotPosition,surname,ballotGivenName,gender,fullName,fullName,partyBallotName,house,incumbent
NSW,Bradfield,7,LOWE,Michael,M,Michael Lowe,Michael Lowe,Pauline Hanson's One Nation,House,0
NSW,Calare,1,HOOK,Kate,F,Kate Hook,Kate Hook,Independent,House,0
NSW,Calare,2,WHITTAKER,Stacey,F,Stacey Whittaker,Stacey Whittaker,Pauline Hanson's One Nation,House,0
NSW,Calare,3,NANKERVIS,Kay,F,Kay Nankervis,Kay Nankervis,The Greens,House,0
NSW,Calare,4,ELLIOTT,Sarah,F,Sarah Elliott,Sarah Elliott,Labor,House,0
NSW,Calare,5,GEE,Andrew,M,Andrew Gee,Andrew Gee,The Nationals,House,1
NSW,Calare,6,JANNIS,Adam John,M,Adam John Jannis,Adam John Jannis,United Australia Party,House,0
NSW,Chifley,1,BATISH,Amit,M,Amit Batish,Amit Batish,Pauline Hanson's One Nation,House,0
NSW,Chifley,2,RASKOV,Zvetanka,F,Zvetanka Raskov,Zvetanka Raskov,United Australia Party,House,0
NSW,Chifley,3,KHAN,Ammar,M,Ammar Khan,Ammar Khan,Independent,House,0
NSW,Chifley,4,ROUGHLEY,Ben,M,Ben Roughley,Ben Roughley,Liberal Democrats,House,0
NSW,Chifley,5,SELVENTHIRAN,Sujan,M,Sujan Selventhiran,Sujan Selventhiran,The Greens,House,0
NSW,Chifley,6,SINGH,Jugandeep,M,Jugandeep Singh,Jugandeep Singh,Liberal,House,0
NSW,Chifley,7,HUSIC,Ed,M,Ed Husic,Ed Husic,Labor,House,1
NSW,Cook,1,CAMERON,Gaye,F,Gaye Cameron,Gaye Cameron,Pauline Hanson's One Nation,House,0
NSW,Cook,2,DYSON,Catherine,F,Catherine Dyson,Catherine Dyson,The Greens,House,0
NSW,Cook,3,MORRISON,Scott,M,Scott Morrison,Scott Morrison,Liberal,House,1
NSW,Cook,4,GUINANE,Jacqueline,F,Jacqueline Guinane,Jacqueline Guinane,United Australia Party,House,0
NSW,Cook,5,EARLE,Simon,M,Simon Earle,Simon Earle,Labor,House,0
NSW,Cowper,1,ASPIOTIS,Faye,F,Faye Aspiotis,Faye Aspiotis,Pauline Hanson's One Nation,House,0
NSW,Cowper,2,McMULLEN,Keith,M,Keith Mcmullen,Keith Mcmullen,Labor,House,0
NSW,Cowper,3,CONAGHAN,Pat,M,Pat Conaghan,Pat Conaghan,The Nationals,House,1
NSW,Cowper,4,HEISE,Caz,F,Caz Heise,Caz Heise,Independent,House,0
NSW,Cowper,5,CHASELING,Simon,M,Simon Chaseling,Simon Chaseling,Liberal Democrats,House,0
NSW,Cowper,6,FAIRHALL,Joshua Stephen,M,Joshua Stephen Fairhall,Joshua Stephen Fairhall,United Australia Party,House,0
NSW,Cowper,7,NOTT,Timothy,M,Timothy Nott,Timothy Nott,The Greens,House,0
NSW,Cunningham,1,UREN,Marcus,M,Marcus Uren,Marcus Uren,Liberal,House,0
NSW,Cunningham,2,BRITTON,Ben,M,Ben Britton,Ben Britton,United Australia Party,House,0
NSW,Cunningham,3,BYRNES,Alison,F,Alison Byrnes,Alison Byrnes,Labor,House,0
NSW,Cunningham,4,GARNAUT-MILLER,Alexis,M,Alexis Garnaut-Miller,Alexis Garnaut-Miller,Citizens Party,House,0
NSW,Cunningham,5,GREEN,Dylan,M,Dylan Green,Dylan Green,The Greens,House,0
NSW,Cunningham,6,GLOVER,Michael,M,Michael Glover,Michael Glover,Liberal Democrats,House,0
NSW,Cunningham,7,GROGAN,Thomas,M,Thomas Grogan,Thomas Grogan,Pauline Hanson's One Nation,House,0
NSW,Dobell,1,BARNES,Geoff,M,Geoff Barnes,Geoff Barnes,"FUSION: Science, Pirate, Secular, Climate Emergency",House,0
NSW,Dobell,2,MACKIN,Dean James,M,Dean James Mackin,Dean James Mackin,United Australia Party,House,0
NSW,Dobell,3,FENELEY,Michael,M,Michael Feneley,Michael Feneley,Liberal,House,0
NSW,Dobell,4,CONNOR,Cath,F,Cath Connor,Cath Connor,The Greens,House,0
NSW,Dobell,5,STEVENSON,Martin,M,Martin Stevenson,Martin Stevenson,Pauline Hanson's One Nation,House,0
NSW,Dobell,6,METHERELL,Eliot,M,Eliot Metherell,Eliot Metherell,Liberal Democrats,House,0
NSW,Dobell,7,McBRIDE,Emma,F,Emma Mcbride,Emma Mcbride,Labor,House,1
NSW,Eden-Monaro,1,HOLGATE,James,M,James Holgate,James Holgate,Sustainable Australia Party - Stop Overdevelopment / Corruption,House,0
NSW,Eden-Monaro,2,HOLMES,Maxwell,M,Maxwell Holmes,Maxwell Holmes,Liberal Democrats,House,0
NSW,Eden-Monaro,3,McBAIN,Kristy,F,Kristy Mcbain,Kristy Mcbain,Labor,House,1
NSW,Eden-Monaro,4,BUTLER,Greg,M,Greg Butler,Greg Butler,Australian Democrats,House,0
